year,name,title,date
1940,John Ford,The Grapes of Wrath,27-Feb-41
1941,John Ford,How Green Was My Valley,26-Feb-42
1942,William Wyler,Mrs. Miniver,4-Mar-43
1943,Michael Curtiz,Casablanca,2-Mar-44
1944,Leo McCarey,Going My Way,15-Mar-45
1945,Billy Wilder,The Lost Weekend,7-Mar-46
1946,William Wyler,The Best Years of Our Lives,13-Mar-47
1947,Elia Kazan,Gentleman's Agreement,20-Mar-48
1948,John Huston,The Treasure of the Sierra Madre,24-Mar-49
1949,Joseph L. Mankiewicz,A Letter to Three Wives,23-Mar-50
1950,Joseph L. Mankiewicz,All About Eve,29-Mar-51
1951,George Stevens,A Place in the Sun,20-Mar-52
1952,John Ford,The Quiet Man,19-Mar-53
1953,Fred Zinnemann,From Here to Eternity,25-Mar-54
1954,Elia Kazan,On the Waterfront,30-Mar-55
1955,Delbert Mann,Marty,21-Mar-56
1956,George Stevens,Giant,27-Mar-57
1957,David Lean,The Bridge on the River Kwai,26-Mar-58
1958,Vincente Minnelli,Gigi,6-Apr-59
1959,William Wyler,Ben-Hur,4-Apr-60
1960,Billy Wilder,The Apartment,17-Apr-61
1961,Robert Wise,West Side Story,9-Apr-62
1961,Jerome Robbins,West Side Story,9-Apr-62
1962,David Lean,Lawrence of Arabia,8-Apr-63
1963,Tony Richardson,Tom Jones,13-Apr-64
1964,George Cukor,My Fair Lady,5-Apr-65
1965,Robert Wise,The Sound of Music,18-Apr-66
1966,Fred Zinnemann,A Man for All Seasons,10-Apr-67
1967,Mike Nichols,The Graduate,10-Apr-68
1968,Carol Reed,Oliver!,14-Apr-69
1969,John Schlesinger,Midnight Cowboy,7-Apr-70
1970,Franklin J. Schaffner,Patton,15-Apr-71
1971,William Friedkin,The French Connection,10-Apr-72
1972,Bob Fosse,Cabaret,27-Mar-73
1973,George Roy Hill,The Sting,2-Apr-74
1974,Francis Ford Coppola,The Godfather: Part II,8-Apr-75
1975,MiloÅÁ Forman,One Flew Over the Cuckoo's Nest,29-Mar-76
1976,John G. Avildsen,Rocky,28-Mar-77
1977,Woody Allen,Annie Hall,3-Apr-78
1978,Michael Cimino,The Deer Hunter,9-Apr-79
1979,Robert Benton,Kramer vs. Kramer,14-Apr-80
1980,Robert Redford,Ordinary People,31-Mar-81
1981,Warren Beatty,Reds,29-Mar-82
1982,Richard Attenborough,Gandhi,11-Apr-83
1983,James L. Brooks,Terms of Endearment,9-Apr-84
1984,MiloÅÁ Forman,Amadeus,25-Mar-85
1985,Sydney Pollack,Out of Africa,24-Mar-86
1986,Oliver Stone,Platoon,30-Mar-87
1987,Bernardo Bertolucci,The Last Emperor,11-Apr-88
1988,Barry Levinson,Rain Man,29-Mar-89
1989,Oliver Stone,Born on the Fourth of July,26-Mar-90
1990,Kevin Costner,Dances with Wolves,25-Mar-91
1991,Jonathan Demme,The Silence of the Lambs,30-Mar-92
1992,Clint Eastwood,Unforgiven,29-Mar-93
1993,Steven Spielberg,Schindler's List,21-Mar-94
1994,Robert Zemeckis,Forrest Gump,27-Mar-95
1995,Mel Gibson,Braveheart,25-Mar-96
1996,Anthony Minghella,The English Patient,24-Mar-97
1997,James Cameron,Titanic,23-Mar-98
1998,Steven Spielberg,Saving Private Ryan,21-Mar-99
1999,Sam Mendes,American Beauty,26-Mar-00
2000,Steven Soderbergh,Traffic,25-Mar-01
2001,Ron Howard,A Beautiful Mind,24-Mar-02
2002,Roman Polanski,The Pianist,23-Mar-03
2003,Peter Jackson,The Lord of the Rings: The Return of the King,29-Feb-04
2004,Clint Eastwood,Million Dollar Baby,27-Feb-05
2005,Ang Lee,Brokeback Mountain,5-Mar-06
2006,Martin Scorsese,The Departed,25-Feb-07
2007,Joel Coen,No Country for Old Men,24-Feb-08
2007,Ethan Coen,No Country for Old Men,24-Feb-08
2008,Danny Boyle,Slumdog Millionaire,22-Feb-09
2009,Kathryn Bigelow,The Hurt Locker,7-Mar-10
2010,Tom Hooper,The King's Speech,27-Feb-11
2011,Michel Hazanavicius,The Artist,26-Feb-12
2012,Ang Lee,Life of Pi,24-Feb-13
2013,Alfonso CuarÌ_n,Gravity,2-Mar-14
2014,Alejandro GonzÌÁlez IÌ±ÌÁrritu,Birdman,22-Feb-15
